,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
246,FR,STA-FR04135,NO2,49.25,µg/m3,2013-12-17 22:00:00 +01:00
247,FR,STA-FR04135,NO2,99.0,µg/m3,2013-12-18 07:00:00 +01:00
248,FR,STA-FR04135,NO2,48.0,µg/m3,2013-12-17 05:00:00 +01:00
249,FR,STA-FR04135,NO2,78.0,µg/m3,2013-12-17 07:00:00 +01:00
250,FR,STA-FR04135,NO2,49.5,µg/m3,2013-12-17 02:00:00 +01:00
251,FR,STA-FR04135,NO2,92.5,µg/m3,2013-12-16 23:00:00 +01:00
252,FR,STA-FR04135,NO2,8.25,µg/m3,2013-12-28 02:00:00 +01:00
253,FR,STA-FR04135,NO2,58.5,µg/m3,2013-12-28 11:00:00 +01:00
254,FR,STA-FR04135,NO2,32.25,µg/m3,2013-12-28 22:00:00 +01:00
255,FR,STA-FR04135,NO2,58.25,µg/m3,2013-12-28 13:00:00 +01:00
256,FR,STA-FR04135,NO2,99.75,µg/m3,2013-12-20 09:00:00 +01:00
257,FR,STA-FR04135,NO2,96.75,µg/m3,2013-12-19 20:00:00 +01:00
258,FR,STA-FR04135,NO2,37.75,µg/m3,2013-12-21 12:00:00 +01:00
259,FR,STA-FR04135,NO2,65.0,µg/m3,2013-12-18 18:00:00 +01:00
260,FR,STA-FR04135,NO2,23.75,µg/m3,2013-12-19 00:00:00 +01:00
261,FR,STA-FR04135,NO2,47.5,µg/m3,2013-12-19 05:00:00 +01:00
262,FR,STA-FR04135,NO2,25.0,µg/m3,2013-12-19 03:00:00 +01:00
264,FR,STA-FR04135,NO2,19.25,µg/m3,2013-12-22 09:00:00 +01:00
265,FR,STA-FR04135,NO2,74.75,µg/m3,2013-12-22 17:00:00 +01:00
266,FR,STA-FR04135,NO2,28.25,µg/m3,2013-12-22 22:00:00 +01:00
267,FR,STA-FR04135,NO2,32.0,µg/m3,2013-12-22 15:00:00 +01:00
268,FR,STA-FR04135,NO2,31.75,µg/m3,2013-12-23 03:00:00 +01:00
269,FR,STA-FR04135,NO2,49.25,µg/m3,2013-12-22 20:00:00 +01:00
270,FR,STA-FR04135,NO2,48.5,µg/m3,2013-12-21 00:00:00 +01:00
271,FR,STA-FR04135,NO2,51.5,µg/m3,2013-12-21 16:00:00 +01:00
272,FR,STA-FR04135,NO2,24.75,µg/m3,2013-12-21 23:00:00 +01:00
273,FR,STA-FR04135,NO2,21.0,µg/m3,2013-12-22 00:00:00 +01:00
274,FR,STA-FR04135,NO2,13.25,µg/m3,2013-12-22 02:00:00 +01:00
275,FR,STA-FR04135,NO2,16.0,µg/m3,2013-12-24 06:00:00 +01:00
276,FR,STA-FR04135,NO2,49.5,µg/m3,2013-12-23 11:00:00 +01:00
277,FR,STA-FR04135,NO2,7.25,µg/m3,2013-12-24 04:00:00 +01:00
278,FR,STA-FR04135,NO2,7.0,µg/m3,2013-12-24 02:00:00 +01:00
