,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
239,PT,STA-PT03084,O3,85.5,µg/m3,2014-03-28 13:00:00 +01:00
240,PT,STA-PT03084,O3,118.1,µg/m3,2014-03-16 16:00:00 +01:00
241,PT,STA-PT03084,O3,51.4,µg/m3,2014-03-17 11:00:00 +01:00
242,PT,STA-PT03084,O3,92.1,µg/m3,2014-03-17 01:00:00 +01:00
243,PT,STA-PT03084,O3,98.8,µg/m3,2014-03-18 07:00:00 +01:00
244,PT,STA-PT03084,O3,38.1,µg/m3,2014-03-13 11:00:00 +01:00
245,PT,STA-PT03084,O3,74.8,µg/m3,2014-03-13 15:00:00 +01:00
246,PT,STA-PT03084,O3,13.2,µg/m3,2014-03-12 08:00:00 +01:00
247,PT,STA-PT03084,O3,74.6,µg/m3,2014-03-14 03:00:00 +01:00
248,PT,STA-PT03084,O3,92.2,µg/m3,2014-03-14 14:00:00 +01:00
249,PT,STA-PT03084,O3,73.6,µg/m3,2014-03-14 12:00:00 +01:00
251,PT,STA-PT03084,O3,45.4,µg/m3,2014-03-09 01:00:00 +01:00
252,PT,STA-PT03084,O3,52.8,µg/m3,2014-03-10 04:00:00 +01:00
253,PT,STA-PT03084,O3,102.6,µg/m3,2014-03-10 15:00:00 +01:00
254,PT,STA-PT03084,O3,90.1,µg/m3,2014-03-08 14:00:00 +01:00
255,PT,STA-PT03084,O3,32.7,µg/m3,2014-03-08 03:00:00 +01:00
256,PT,STA-PT03084,O3,6.7,µg/m3,2014-03-08 00:00:00 +01:00
257,PT,STA-PT03084,O3,67.6,µg/m3,2014-03-13 01:00:00 +01:00
258,PT,STA-PT03084,O3,13.3,µg/m3,2014-03-13 09:00:00 +01:00
259,PT,STA-PT03084,O3,78.2,µg/m3,2014-03-12 13:00:00 +01:00
260,PT,STA-PT03084,O3,110.7,µg/m3,2014-03-11 16:00:00 +01:00
261,PT,STA-PT03084,O3,100.1,µg/m3,2014-03-11 18:00:00 +01:00
262,PT,STA-PT03084,O3,64.3,µg/m3,2014-04-28 11:00:00 +01:00
267,PT,STA-PT03084,O3,64.7,µg/m3,2014-04-28 08:00:00 +01:00
274,PT,STA-PT03084,O3,80.6,µg/m3,2014-04-27 06:00:00 +01:00
276,PT,STA-PT03084,O3,56.1,µg/m3,2014-04-30 20:00:00 +01:00
280,PT,STA-PT03084,O3,71.4,µg/m3,2014-04-21 20:00:00 +01:00
281,PT,STA-PT03084,O3,53.3,µg/m3,2014-04-22 00:00:00 +01:00
288,PT,STA-PT03084,O3,93.4,µg/m3,2014-04-23 20:00:00 +01:00
298,PT,STA-PT03084,O3,99.2,µg/m3,2014-04-23 05:00:00 +01:00
305,PT,STA-PT03084,O3,77.9,µg/m3,2014-05-06 03:00:00 +01:00
307,PT,STA-PT03084,O3,60.4,µg/m3,2014-05-06 22:00:00 +01:00
309,PT,STA-PT03084,O3,70.5,µg/m3,2014-05-07 18:00:00 +01:00
311,PT,STA-PT03084,O3,40.1,µg/m3,2014-05-05 08:00:00 +01:00
313,PT,STA-PT03084,O3,85.4,µg/m3,2014-05-03 02:00:00 +01:00
314,PT,STA-PT03084,O3,96.5,µg/m3,2014-05-03 21:00:00 +01:00
315,PT,STA-PT03084,O3,92.6,µg/m3,2014-05-03 20:00:00 +01:00
316,PT,STA-PT03084,O3,94.6,µg/m3,2014-05-03 22:00:00 +01:00
320,PT,STA-PT03084,O3,62.3,µg/m3,2014-05-09 18:00:00 +01:00
321,PT,STA-PT03084,O3,48.3,µg/m3,2014-05-08 23:00:00 +01:00
322,PT,STA-PT03084,O3,51.2,µg/m3,2014-05-09 07:00:00 +01:00
324,PT,STA-PT03084,O3,54.7,µg/m3,2014-05-10 14:00:00 +01:00
325,PT,STA-PT03084,O3,87.9,µg/m3,2014-05-11 13:00:00 +01:00
326,PT,STA-PT03084,O3,46.9,µg/m3,2014-05-10 22:00:00 +01:00
330,PT,STA-PT03084,O3,79.2,µg/m3,2014-05-21 19:00:00 +01:00
331,PT,STA-PT03084,O3,97.3,µg/m3,2014-05-21 14:00:00 +01:00
