country iso code,city_name,station_european_code,type_of_station,station_type_of_area,component_caption,statistic_value (µg/m3),above_AQG?
AT,Klagenfurt,AT2KA21,Traffic,urban,PM10,23.2,1
AT,Klagenfurt,AT2KA71,Background,urban,PM10,22.9,1
AT,Linz,AT4S184,Background,urban,PM10,23.0,1
AT,Linz,AT4S416,Background,urban,PM10,25.9,1
AT,Linz,AT4S431,Traffic,urban,PM10,29.0,1
AT,Salzburg,AT51000,Traffic,urban,PM10,25.3,1
AT,Graz,AT60036,Background,suburban,PM10,18.7,0
AT,Graz,AT60138,Background,suburban,PM10,21.3,1
AT,Graz,AT60164,Traffic,urban,PM10,32.2,1
AT,Graz,AT60170,Background,urban,PM10,26.8,1
AT,Graz,AT60172,Background,urban,PM10,25.2,1
AT,Innsbruck,AT72106,Traffic,urban,PM10,21.1,1
AT,Innsbruck,AT72110,Traffic,urban,PM10,20.0,0
AT,Wien,AT90AKC,Traffic,urban,PM10,23.7,1
AT,Wien,AT90FLO,Traffic,urban,PM10,26.4,1
AT,Wien,AT90TAB,Traffic,urban,PM10,25.7,1
AT,Wien,AT9BELG,Traffic,urban,PM10,27.3,1
AT,Wien,AT9GAUD,Traffic,urban,PM10,26.6,1
AT,Wien,AT9LIES,Traffic,suburban,PM10,28.0,1
AT,Wien,AT9RINN,Traffic,urban,PM10,27.1,1
AT,Wien,AT9SCHA,Background,suburban,PM10,22.1,1
AT,Wien,AT9STAD,Background,urban,PM10,24.7,1
BE,Antwerpen,BELAB02,Background,suburban,PM10,26.0,1
BE,Antwerpen,BELAL01,Background,suburban,PM10,24.7,1
BE,Antwerpen,BELHB23,Background,suburban,PM10,27.6,1
BE,Bruxelles / Brussel,BETB011,Background,suburban,PM10,21.8,1
BE,Liège,BETH201,Background,suburban,PM10,21.6,1
BE,Liège,BETM204,Background,suburban,PM10,22.8,1
BE,Bruxelles / Brussel,BETMEU1,Background,suburban,PM10,23.2,1
BE,Mons,BETN070,Background,suburban,PM10,27.9,1
BE,Bruxelles / Brussel,BETR001,Traffic,urban,PM10,25.4,1
BE,Bruxelles / Brussel,BETR012,Background,suburban,PM10,27.7,1
BE,Liège,BETR221,Background,urban,PM10,20.4,0
BE,Liège,BETR222,Background,suburban,PM10,21.8,1
BE,Charleroi,BETR501,Traffic,urban,PM10,25.7,1
BE,Charleroi,BETR502,Background,suburban,PM10,21.8,1
BE,Charleroi,BETR511,Background,suburban,PM10,21.4,1
BE,Gent,BETR701,Background,urban,PM10,29.9,1
BE,Antwerpen,BETR801,Traffic,urban,PM10,27.4,1
BE,Antwerpen,BETR802,Traffic,urban,PM10,30.6,1
BE,Bruxelles / Brussel,BETWOL1,Traffic,suburban,PM10,21.9,1
BG,Pleven,BG0019A,Background,urban,PM10,41.7,1
BG,Veliko Tarnovo,BG0020A,Background,suburban,PM10,40.1,1
BG,Shumen,BG0038A,Background,urban,PM10,38.1,1
BG,Sofia,BG0040A,Background,suburban,PM10,41.2,1
BG,Vratsa,BG0043A,Background,urban,PM10,38.9,1
BG,Burgas,BG0044A,Background,suburban,PM10,45.4,1
BG,Ruse,BG0045A,Background,suburban,PM10,46.9,1
BG,Pernik,BG0046A,Background,suburban,PM10,41.9,1
BG,Pazardzhik,BG0047A,Background,urban,PM10,45.8,1
BG,Pernik,BG0049A,Traffic,suburban,PM10,51.5,1
BG,Sofia,BG0050A,Background,suburban,PM10,41.5,1
BG,Plovdiv,BG0051A,Background,urban,PM10,62.2,1
BG,Sofia,BG0052A,Background,suburban,PM10,48.8,1
BG,Sofia,BG0054A,Traffic,urban,PM10,52.4,1
BG,Stara Zagora,BG0055A,Traffic,urban,PM10,41.9,1
BG,Burgas,BG0056A,Background,suburban,PM10,26.7,1
BG,Blagoevgrad,BG0058A,Background,suburban,PM10,38.7,1
BG,Haskovo,BG0061A,Background,suburban,PM10,46.2,1
BG,Burgas,BG0063A,Background,suburban,PM10,35.2,1
BG,Sliven,BG0069A,Traffic,urban,PM10,39.4,1
BG,Plovdiv,BG0072A,Traffic,urban,PM10,55.9,1
BG,Sofia,BG0073A,Traffic,urban,PM10,43.0,1
BG,Varna,BG0074A,Background,urban,PM10,51.0,1
BG,Varna,BG0075A,background,urban,PM10,25.1,1
BG,Dobrich,BG0076A,background,suburban,PM10,24.8,1
CH,Zürich,CH0010A,Background,urban,PM10,18.6,0
CH,Lugano,CH0011A,Background,urban,PM10,18.1,0
CH,Zürich,CH0013A,Traffic,urban,PM10,22.3,1
CH,Winterthur,CH0014A,Background,urban,PM10,19.0,0
CH,Basel,CH0017A,Background,urban,PM10,19.0,0
CH,Bern,CH0020A,Traffic,urban,PM10,22.8,1
CH,Zürich,CH0021A,Traffic,urban,PM10,23.1,1
CH,Lausanne,CH0028A,Traffic,urban,PM10,20.2,0
CH,Basel,CH0029A,Traffic,urban,PM10,23.9,1
CH,Bern,CH0031A,Traffic,urban,PM10,27.3,1
CH,St. Gallen,CH0042A,Traffic,urban,PM10,16.4,0
CH,Lugano,CH0043A,Background,suburban,PM10,21.4,1
CH,Genève,CH0048A,Traffic,urban,PM10,23.0,1
CH,Genève,CH0049A,Background,urban,PM10,21.3,1
CY,Lefkosia,CY0004A,Traffic,urban,PM10,47.2,1
