,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
70,NL,STA-NL00014,PM10,24.7,µg/m3,2013-01-04 15:00:00 +01:00
71,NL,STA-NL00014,PM10,23.1,µg/m3,2013-01-04 20:00:00 +01:00
72,NL,STA-NL00014,PM10,53.7,µg/m3,2013-01-22 23:00:00 +01:00
73,NL,STA-NL00014,PM10,49.1,µg/m3,2013-01-21 23:00:00 +01:00
74,NL,STA-NL00014,PM10,19.0,µg/m3,2013-01-02 16:00:00 +01:00
75,NL,STA-NL00014,PM10,25.7,µg/m3,2013-01-03 23:00:00 +01:00
76,NL,STA-NL00014,PM10,21.5,µg/m3,2013-01-03 14:00:00 +01:00
77,NL,STA-NL00014,PM10,13.9,µg/m3,2013-01-03 15:00:00 +01:00
78,NL,STA-NL00014,PM10,37.7,µg/m3,2013-01-22 01:00:00 +01:00
79,NL,STA-NL00014,PM10,22.7,µg/m3,2013-01-04 13:00:00 +01:00
80,NL,STA-NL00014,PM10,51.2,µg/m3,2013-01-21 13:00:00 +01:00
81,NL,STA-NL00014,PM10,28.8,µg/m3,2013-01-04 07:00:00 +01:00
82,NL,STA-NL00014,PM10,30.3,µg/m3,2013-01-04 08:00:00 +01:00
83,NL,STA-NL00014,PM10,27.4,µg/m3,2013-01-04 04:00:00 +01:00
84,NL,STA-NL00014,PM10,18.0,µg/m3,2013-01-02 14:00:00 +01:00
85,NL,STA-NL00014,PM10,29.7,µg/m3,2013-01-04 06:00:00 +01:00
86,NL,STA-NL00014,PM10,19.5,µg/m3,2013-01-02 04:00:00 +01:00
87,NL,STA-NL00014,PM10,14.4,µg/m3,2013-01-01 23:00:00 +01:00
88,NL,STA-NL00014,PM10,22.9,µg/m3,2013-01-20 17:00:00 +01:00
89,NL,STA-NL00014,PM10,26.5,µg/m3,2013-01-19 15:00:00 +01:00
90,NL,STA-NL00014,PM10,34.1,µg/m3,2013-10-18 16:00:00 +01:00
91,NL,STA-NL00014,PM10,14.6,µg/m3,2013-01-03 01:00:00 +01:00
92,NL,STA-NL00014,PM10,18.6,µg/m3,2013-01-01 11:00:00 +01:00
93,NL,STA-NL00014,PM10,14.3,µg/m3,2013-10-18 11:00:00 +01:00
94,NL,STA-NL00014,PM10,16.6,µg/m3,2013-01-01 04:00:00 +01:00
95,NL,STA-NL00014,PM10,23.2,µg/m3,2013-01-19 03:00:00 +01:00
