Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
ES,STA_ES0125A,O3,2.93,µg/m3,2020-01-01 00:00:00 +01:00
ES,STA_ES0125A,O3,2.34,µg/m3,2020-01-01 01:00:00 +01:00
ES,STA_ES0125A,O3,2.17,µg/m3,2020-01-01 02:00:00 +01:00
ES,STA_ES0125A,O3,2.43,µg/m3,2020-01-01 03:00:00 +01:00
ES,STA_ES0125A,O3,2.44,µg/m3,2020-01-01 04:00:00 +01:00
ES,STA_ES0125A,O3,1.96,µg/m3,2020-01-01 05:00:00 +01:00
ES,STA_ES0125A,O3,2.17,µg/m3,2020-01-01 06:00:00 +01:00
ES,STA_ES0125A,O3,2.43,µg/m3,2020-01-01 07:00:00 +01:00
ES,STA_ES0125A,O3,2.12,µg/m3,2020-01-01 08:00:00 +01:00
ES,STA_ES0125A,O3,3.91,µg/m3,2020-01-01 09:00:00 +01:00
ES,STA_ES0125A,O3,3.6,µg/m3,2020-01-01 10:00:00 +01:00
ES,STA_ES0125A,O3,6.93,µg/m3,2020-01-01 11:00:00 +01:00
ES,STA_ES0125A,O3,10.13,µg/m3,2020-01-01 12:00:00 +01:00
ES,STA_ES0125A,O3,14.36,µg/m3,2020-01-01 13:00:00 +01:00
ES,STA_ES0125A,O3,15.2,µg/m3,2020-01-01 14:00:00 +01:00
ES,STA_ES0125A,O3,17.6,µg/m3,2020-01-01 15:00:00 +01:00
ES,STA_ES0125A,O3,12.58,µg/m3,2020-01-01 16:00:00 +01:00
ES,STA_ES0125A,O3,7.07,µg/m3,2020-01-01 17:00:00 +01:00
ES,STA_ES0125A,O3,1.96,µg/m3,2020-01-01 18:00:00 +01:00
ES,STA_ES0125A,O3,1.85,µg/m3,2020-01-01 19:00:00 +01:00
ES,STA_ES0125A,O3,2.49,µg/m3,2020-01-01 20:00:00 +01:00
ES,STA_ES0125A,O3,2.3,µg/m3,2020-01-01 21:00:00 +01:00
ES,STA_ES0125A,O3,1.99,µg/m3,2020-01-01 22:00:00 +01:00
ES,STA_ES0125A,O3,2.04,µg/m3,2020-01-01 23:00:00 +01:00
ES,STA_ES0125A,O3,2.15,µg/m3,2020-01-02 01:00:00 +01:00
ES,STA_ES0125A,O3,2.37,µg/m3,2020-01-02 02:00:00 +01:00
